central,fecha,tipo_evento,duracion_horas,observacion
Termoelectrica Valle Central,2024-01-09,falla_electrica,30,Evento por corriente de fuga elevada en el transformador de poder; se aisla el circuito y se normaliza la tension.
Termoelectrica Valle Central,2024-01-09,correctivo,8,Se completa la reparacion dentro del plazo comprometido tras detectar indisponibilidad forzada de la unidad en el modulo reemplazado.
Diesel Respaldo Cordillera,2024-01-10,preventivo,23,Evento por las horas de operacion acumuladas en el plan anual de la unidad; se ejecuta la rutina programada y se actualiza el calendario.
Termoelectrica Costa Brava,2024-01-12,falla_electrica,24,Se registra el disparo de la proteccion diferencial en el interruptor principal durante la ronda del turno.
Diesel Respaldo Cordillera,2024-01-14,falla_mecanica,28,Evento por perdida de presion de aceite en el rodamiento del eje principal; se cambia el sello y se verifica la estanqueidad.
Diesel Respaldo Cordillera,2024-01-14,correctivo,38,Evento por una reparacion mayor pendiente en la unidad fuera de servicio; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Eolica Punta Ventosa,2024-01-14,correctivo,64,La espera de un repuesto importado en el modulo reemplazado. Se instala el repuesto y se ejecutan las pruebas de normalizacion.
Termoelectrica Costa Brava,2024-01-14,correctivo,46,Se registra indisponibilidad forzada de la unidad en la cuadrilla de intervencion durante la ronda del turno.
Termoelectrica Bahia Norte,2024-01-16,falla_electrica,18,El operador reporta sobretension sostenida; se revisa el interruptor principal y se energiza la barra en forma escalonada.
Parque Solar Cerro Dorado,2024-01-17,inspeccion,5,Se registra un hallazgo menor sin indisponibilidad en el checklist del recorrido durante la ronda del turno.
Central Quebrada Azul,2024-01-18,inspeccion,6,Durante el turno: una observacion levantada en auditoria en el informe de termografia; se levanta la observacion y se programa el seguimiento.
Central Vega Escondida,2024-01-18,correctivo,51,El operador reporta la espera de un repuesto importado; se revisa el modulo reemplazado y la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Eolica Vientos del Sur,2024-01-18,falla_mecanica,74,Se detecta desgaste anormal del rodamiento en el sistema de refrigeracion; se purga el circuito de lubricacion y se ajusta el torque.
Termoelectrica Bahia Norte,2024-01-18,preventivo,8,Durante el turno: el ciclo de limpieza programado en el tablero de control; se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Cerro Dorado,2024-01-19,inspeccion,8,Evento por un hallazgo menor sin indisponibilidad en el parametro fuera de tolerancia; se levanta la observacion y se programa el seguimiento.
Parque Solar Media Luna,2024-01-19,correctivo,31,Reincidencia de la falla anterior en el modulo reemplazado. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Central Quebrada Azul,2024-01-20,falla_mecanica,22,El operador reporta desgaste anormal del rodamiento; se revisa la turbina de baja presion y se purga el circuito de lubricacion y se ajusta el torque.
Eolica Loma Larga,2024-01-20,evento_climatico,30,Se detecta granizo sobre la estructura en la estructura del parque; se descongelan las palas antes de reanudar la operacion.
Central Quebrada Azul,2024-01-23,falla_mecanica,52,Durante el turno: desgaste anormal del rodamiento en el rodamiento del eje principal; se cambia el sello y se verifica la estanqueidad.
Parque Solar Llano Blanco,2024-01-23,falla_electrica,6,Se detecta un arco electrico en el borne en el rele de proteccion; se reconecta el interruptor tras verificar la aislacion.
Termoelectrica Peninsula Gris,2024-01-23,preventivo,21,El vencimiento de la pauta periodica en el tablero de control. Se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Peninsula Gris,2024-01-23,preventivo,20,Se cambia el aceite y el filtro segun la pauta del fabricante tras detectar el cumplimiento del programa de mantenimiento en el filtro de admision.
Central Vega Escondida,2024-01-25,falla_mecanica,13,Se detecta desalineamiento del acoplamiento en la bomba de lubricacion; se reemplaza el rodamiento y se realinea el eje.
Parque Solar Llano Blanco,2024-01-25,correctivo,49,Se registra la espera de un repuesto importado en el repuesto critico de bodega durante la ronda del turno.
Parque Solar Media Luna,2024-01-27,correctivo,64,Evento por reincidencia de la falla anterior en la unidad fuera de servicio; la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Eolica Vientos del Sur,2024-01-28,inspeccion,3,El operador reporta una observacion levantada en auditoria; se revisa el informe de termografia y se completa el checklist sin desviaciones relevantes.
Eolica Punta Ventosa,2024-01-29,preventivo,11,Se registra las horas de operacion acumuladas en el calendario de disponibilidad durante la ronda del turno.
Termoelectrica Bahia Norte,2024-01-29,preventivo,4,El operador reporta las horas de operacion acumuladas; se revisa el plan anual de la unidad y se ajusta el torque de los pernos y se limpia el tablero.
Central Lago Ventisquero,2024-01-31,inspeccion,5,Durante el turno: una observacion levantada en auditoria en el informe de termografia; se completa el checklist sin desviaciones relevantes.
Central Rio Manso Alto,2024-01-31,preventivo,23,Evento por las horas de operacion acumuladas en el plan anual de la unidad; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Punta Ventosa,2024-01-31,evento_climatico,11,Se registra granizo sobre la estructura en la torre de medicion de viento durante la ronda del turno.
Termoelectrica Puerto Nuevo,2024-01-31,preventivo,4,El operador reporta el vencimiento de la pauta periodica; se revisa el calendario de disponibilidad y se repone la disponibilidad de la unidad dentro del plazo.
Termoelectrica Valle Central,2024-01-31,preventivo,24,Durante el turno: el vencimiento de la pauta periodica en el filtro de admision; se ejecuta la rutina programada y se actualiza el calendario.
Parque Solar Cerro Dorado,2024-02-01,preventivo,17,El vencimiento de la pauta periodica en el tablero de control. Se ajusta el torque de los pernos y se limpia el tablero.
Termoelectrica Puerto Nuevo,2024-02-01,correctivo,13,Se registra indisponibilidad forzada de la unidad en la unidad fuera de servicio durante la ronda del turno.
Parque Solar Pampa Alta,2024-02-02,falla_electrica,9,Se registra un cortocircuito monofasico en el transformador de poder durante la ronda del turno.
Termoelectrica Costa Brava,2024-02-03,inspeccion,7,Evento por una desviacion leve del parametro medido en la medicion de espesores; se levanta la observacion y se programa el seguimiento.
Central Salto del Pehuen,2024-02-04,preventivo,22,El cumplimiento del programa de mantenimiento en el plan anual de la unidad. Se ajusta el torque de los pernos y se limpia el tablero.
Termoelectrica Costa Brava,2024-02-04,preventivo,16,Se detecta las horas de operacion acumuladas en el plan anual de la unidad; se ejecuta la rutina programada y se actualiza el calendario.
Diesel Respaldo Cordillera,2024-02-05,preventivo,6,Durante el turno: el ciclo de limpieza programado en el tablero de control; se cambia el aceite y el filtro segun la pauta del fabricante.
Diesel Respaldo Cordillera,2024-02-05,correctivo,61,Se registra reincidencia de la falla anterior en la cuadrilla de intervencion durante la ronda del turno.
Termoelectrica Puerto Nuevo,2024-02-05,falla_electrica,14,Se registra una caida brusca de tension en el aislador de linea durante la ronda del turno.
Central Vega Escondida,2024-02-06,inspeccion,1,Evento por una observacion levantada en auditoria en el parametro fuera de tolerancia; se documenta el hallazgo y se emite el informe correspondiente.
Parque Solar Salar Nuevo,2024-02-07,falla_electrica,31,Se detecta el disparo de la proteccion diferencial en el interruptor principal; se aisla el circuito y se normaliza la tension.
Central Lago Ventisquero,2024-02-08,preventivo,9,Se detecta las horas de operacion acumuladas en el tablero de control; se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Media Luna,2024-02-08,preventivo,11,Se detecta el ciclo de limpieza programado en el filtro de admision; se ajusta el torque de los pernos y se limpia el tablero.
Central Salto del Pehuen,2024-02-09,preventivo,7,El cumplimiento del programa de mantenimiento en el filtro de admision. Se ajusta el torque de los pernos y se limpia el tablero.
Eolica Punta Ventosa,2024-02-10,falla_electrica,25,El operador reporta un cortocircuito monofasico; se revisa la barra de media tension y se reemplaza el rele y se recalibra la proteccion.
Parque Solar Salar Nuevo,2024-02-10,correctivo,30,La cuadrilla interviene en terreno y devuelve la unidad al despacho tras detectar reincidencia de la falla anterior en el equipo intervenido en taller.
Central Salto del Pehuen,2024-02-11,correctivo,35,Evento por una reparacion mayor pendiente en el equipo intervenido en taller; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Eolica Cerro Negro,2024-02-11,inspeccion,3,Evento por un hallazgo menor sin indisponibilidad en el checklist del recorrido; se registra la medicion en la ficha de la unidad.
Eolica Punta Ventosa,2024-02-12,correctivo,13,Se repara el conjunto y se realiza la puesta en marcha tras detectar reincidencia de la falla anterior en la unidad fuera de servicio.
Central Lago Ventisquero,2024-02-14,preventivo,13,Se detecta las horas de operacion acumuladas en el filtro de admision; se ejecuta la rutina programada y se actualiza el calendario.
Eolica Vientos del Sur,2024-02-14,falla_mecanica,94,Evento por temperatura elevada en el descanso en el alabe del rotor; se reemplaza el rodamiento y se realinea el eje.
Diesel Respaldo Cordillera,2024-02-15,preventivo,10,Las horas de operacion acumuladas en el calendario de disponibilidad. Se cambia el aceite y el filtro segun la pauta del fabricante.
Eolica Cerro Negro,2024-02-15,correctivo,61,Se completa la reparacion dentro del plazo comprometido tras detectar indisponibilidad forzada de la unidad en el modulo reemplazado.
Eolica Loma Larga,2024-02-15,inspeccion,2,Se registra un hallazgo menor sin indisponibilidad en el informe de termografia durante la ronda del turno.
Termoelectrica Bahia Norte,2024-02-15,falla_mecanica,54,Se equilibra el rotor y se repite la medicion de vibracion tras detectar vibracion excesiva en el eje en el alabe del rotor.
Termoelectrica Bahia Norte,2024-02-15,falla_electrica,31,Se reconecta el interruptor tras verificar la aislacion tras detectar un arco electrico en el borne en el aislador de linea.
Termoelectrica Bahia Norte,2024-02-15,correctivo,37,Se repara el conjunto y se realiza la puesta en marcha tras detectar una reparacion mayor pendiente en la unidad fuera de servicio.
Central Lago Ventisquero,2024-02-16,preventivo,23,Evento por el vencimiento de la pauta periodica en el tablero de control; se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Salar Nuevo,2024-02-16,preventivo,5,Se registra las horas de operacion acumuladas en el circuito de aceite durante la ronda del turno.
Central Rio Manso Alto,2024-02-17,preventivo,4,El ciclo de limpieza programado en el calendario de disponibilidad. Se repone la disponibilidad de la unidad dentro del plazo.
Central Vega Escondida,2024-02-17,inspeccion,6,Una desviacion leve del parametro medido en el registro fotografico de la unidad. Se registra la medicion en la ficha de la unidad.
Diesel Respaldo Cordillera,2024-02-17,inspeccion,8,Durante el turno: un hallazgo menor sin indisponibilidad en el informe de termografia; se completa el checklist sin desviaciones relevantes.
Eolica Loma Larga,2024-02-17,falla_electrica,8,El operador reporta corriente de fuga elevada; se revisa el alimentador de la subestacion y se reemplaza el rele y se recalibra la proteccion.
Parque Solar Cerro Dorado,2024-02-17,preventivo,12,Se detecta el vencimiento de la pauta periodica en el circuito de aceite; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Vientos del Sur,2024-02-18,preventivo,12,Evento por el cumplimiento del programa de mantenimiento en el plan anual de la unidad; se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Llano Blanco,2024-02-20,falla_mecanica,59,Se equilibra el rotor y se repite la medicion de vibracion tras detectar perdida de presion de aceite en la turbina de baja presion.
Central Quebrada Azul,2024-02-21,preventivo,12,El operador reporta las horas de operacion acumuladas; se revisa el tablero de control y se ajusta el torque de los pernos y se limpia el tablero.
Central Rio Manso Alto,2024-02-21,falla_electrica,18,Se detecta un arco electrico en el borne en el aislador de linea; se reemplaza el rele y se recalibra la proteccion.
Diesel Respaldo Cordillera,2024-02-22,falla_mecanica,57,Se cambia el sello y se verifica la estanqueidad tras detectar vibracion excesiva en el eje en el sello mecanico.
Eolica Vientos del Sur,2024-02-22,falla_mecanica,91,Se reemplaza el rodamiento y se realinea el eje tras detectar vibracion excesiva en el eje en el alabe del rotor.
Parque Solar Llano Blanco,2024-02-22,preventivo,21,Se ajusta el torque de los pernos y se limpia el tablero tras detectar el ciclo de limpieza programado en el circuito de aceite.
Central Quebrada Azul,2024-02-23,falla_mecanica,60,Se registra perdida de presion de aceite en el alabe del rotor durante la ronda del turno.
Eolica Loma Larga,2024-02-23,evento_climatico,26,Se detecta acumulacion de hielo en las palas en la linea de evacuacion; se despeja el acceso tras la nevada y se revisa la torre.
Termoelectrica Peninsula Gris,2024-02-25,correctivo,67,Se registra la espera de un repuesto importado en el modulo reemplazado durante la ronda del turno.
Central Vega Escondida,2024-02-26,preventivo,12,Durante el turno: el ciclo de limpieza programado en el tablero de control; se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Cerro Dorado,2024-02-27,inspeccion,2,Durante el turno: un hallazgo menor sin indisponibilidad en el checklist del recorrido; se documenta el hallazgo y se emite el informe correspondiente.
Parque Solar Llano Blanco,2024-02-27,inspeccion,5,Una lectura dentro de tolerancia en el parametro fuera de tolerancia. Se registra la medicion en la ficha de la unidad.
Parque Solar Pampa Alta,2024-02-28,inspeccion,8,El operador reporta una observacion levantada en auditoria; se revisa la endoscopia del ducto y se documenta el hallazgo y se emite el informe correspondiente.
Eolica Loma Larga,2024-02-29,inspeccion,5,Evento por una lectura dentro de tolerancia en el checklist del recorrido; se levanta la observacion y se programa el seguimiento.
Parque Solar Pampa Alta,2024-02-29,preventivo,7,Evento por el vencimiento de la pauta periodica en el calendario de disponibilidad; se repone la disponibilidad de la unidad dentro del plazo.
Parque Solar Salar Nuevo,2024-02-29,preventivo,16,Se repone la disponibilidad de la unidad dentro del plazo tras detectar las horas de operacion acumuladas en el tablero de control.
Eolica Vientos del Sur,2024-03-01,evento_climatico,32,El operador reporta lluvia y humedad extrema; se revisa la torre de medicion de viento y se despeja el acceso tras la nevada y se revisa la torre.
Eolica Vientos del Sur,2024-03-01,falla_mecanica,72,Durante el turno: temperatura elevada en el descanso en el acoplamiento del generador; se reemplaza el rodamiento y se realinea el eje.
Diesel Respaldo Cordillera,2024-03-03,correctivo,14,Durante el turno: la espera de un repuesto importado en el modulo reemplazado; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Termoelectrica Bahia Norte,2024-03-03,falla_electrica,32,El disparo de la proteccion diferencial en el rele de proteccion. Se reconecta el interruptor tras verificar la aislacion.
Eolica Vientos del Sur,2024-03-04,correctivo,71,La espera de un repuesto importado en el equipo intervenido en taller. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Eolica Punta Ventosa,2024-03-05,falla_mecanica,31,Evento por fatiga del material en el alabe en el sello mecanico; se reemplaza el rodamiento y se realinea el eje.
Parque Solar Salar Nuevo,2024-03-05,correctivo,13,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar la espera de un repuesto importado en el conjunto reparado en terreno.
Termoelectrica Bahia Norte,2024-03-05,correctivo,49,Se detecta indisponibilidad forzada de la unidad en el modulo reemplazado; se repara el conjunto y se realiza la puesta en marcha.
Central Quebrada Azul,2024-03-06,preventivo,22,Evento por el cumplimiento del programa de mantenimiento en el calendario de disponibilidad; se repone la disponibilidad de la unidad dentro del plazo.
Diesel Respaldo Cordillera,2024-03-06,correctivo,16,El operador reporta reincidencia de la falla anterior; se revisa el equipo intervenido en taller y se completa la reparacion dentro del plazo comprometido.
Eolica Vientos del Sur,2024-03-06,preventivo,9,Evento por el cumplimiento del programa de mantenimiento en el calendario de disponibilidad; se ejecuta la rutina programada y se actualiza el calendario.
Parque Solar Salar Nuevo,2024-03-07,evento_climatico,25,Durante el turno: nevada intensa en el acceso en el anemometro de la gondola; se inspecciona la estructura despues del frente de mal tiempo.
Eolica Loma Larga,2024-03-08,correctivo,71,Evento por reincidencia de la falla anterior en el equipo intervenido en taller; se completa la reparacion dentro del plazo comprometido.
Parque Solar Cerro Dorado,2024-03-09,falla_electrica,47,Se detecta una caida brusca de tension en el transformador de poder; se reconecta el interruptor tras verificar la aislacion.
Parque Solar Cerro Dorado,2024-03-09,correctivo,71,El operador reporta reincidencia de la falla anterior; se revisa la cuadrilla de intervencion y la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Termoelectrica Bahia Norte,2024-03-09,falla_mecanica,27,Se detecta fatiga del material en el alabe en la caja multiplicadora; se reemplaza el rodamiento y se realinea el eje.
Eolica Punta Ventosa,2024-03-10,falla_mecanica,52,Se detecta desalineamiento del acoplamiento en el sello mecanico; se reemplaza el rodamiento y se realinea el eje.
Parque Solar Llano Blanco,2024-03-10,preventivo,8,Se repone la disponibilidad de la unidad dentro del plazo tras detectar el cumplimiento del programa de mantenimiento en el tablero de control.
Parque Solar Media Luna,2024-03-10,inspeccion,3,Evento por una observacion levantada en auditoria en el informe de termografia; se levanta la observacion y se programa el seguimiento.
Termoelectrica Costa Brava,2024-03-10,falla_electrica,45,El operador reporta un cortocircuito monofasico; se revisa la barra de media tension y se reemplaza el rele y se recalibra la proteccion.
Termoelectrica Peninsula Gris,2024-03-10,falla_mecanica,70,Durante el turno: fatiga del material en el alabe en la bomba de lubricacion; se reemplaza el rodamiento y se realinea el eje.
Central Rio Manso Alto,2024-03-11,preventivo,5,Evento por el ciclo de limpieza programado en el tablero de control; se ajusta el torque de los pernos y se limpia el tablero.
Central Vega Escondida,2024-03-12,preventivo,20,Las horas de operacion acumuladas en el circuito de aceite. Se ajusta el torque de los pernos y se limpia el tablero.
Central Vega Escondida,2024-03-12,inspeccion,3,El operador reporta una observacion levantada en auditoria; se revisa la endoscopia del ducto y se levanta la observacion y se programa el seguimiento.
Termoelectrica Costa Brava,2024-03-13,correctivo,39,Se registra indisponibilidad forzada de la unidad en la unidad fuera de servicio durante la ronda del turno.
Parque Solar Media Luna,2024-03-15,correctivo,67,Durante el turno: indisponibilidad forzada de la unidad en el conjunto reparado en terreno; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Termoelectrica Peninsula Gris,2024-03-15,inspeccion,6,Durante el turno: una desviacion leve del parametro medido en la medicion de espesores; se documenta el hallazgo y se emite el informe correspondiente.
Eolica Vientos del Sur,2024-03-16,evento_climatico,33,Durante el turno: una tormenta electrica en la zona en el aerogenerador del sector norte; se detiene la unidad por viento y se espera mejor tiempo.
Eolica Vientos del Sur,2024-03-16,falla_mecanica,92,Se purga el circuito de lubricacion y se ajusta el torque tras detectar desalineamiento del acoplamiento en el sello mecanico.
Termoelectrica Peninsula Gris,2024-03-17,preventivo,10,El operador reporta el ciclo de limpieza programado; se revisa el circuito de aceite y se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Salar Nuevo,2024-03-18,preventivo,11,Evento por las horas de operacion acumuladas en el circuito de aceite; se ejecuta la rutina programada y se actualiza el calendario.
Termoelectrica Bahia Norte,2024-03-18,correctivo,20,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar reincidencia de la falla anterior en la unidad fuera de servicio.
Termoelectrica Peninsula Gris,2024-03-18,correctivo,41,El operador reporta indisponibilidad forzada de la unidad; se revisa el modulo reemplazado y la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Termoelectrica Valle Central,2024-03-18,falla_electrica,28,Evento por una caida brusca de tension en el transformador de poder; se reemplaza el rele y se recalibra la proteccion.
Termoelectrica Costa Brava,2024-03-22,correctivo,22,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar indisponibilidad forzada de la unidad en el conjunto reparado en terreno.
Eolica Cerro Negro,2024-03-23,inspeccion,6,Se levanta la observacion y se programa el seguimiento tras detectar una lectura dentro de tolerancia en el informe de termografia.
Central Salto del Pehuen,2024-03-24,preventivo,12,Evento por el cumplimiento del programa de mantenimiento en la pauta de rutina trimestral; se cambia el aceite y el filtro segun la pauta del fabricante.
Central Vega Escondida,2024-03-24,preventivo,19,Durante el turno: el cumplimiento del programa de mantenimiento en el tablero de control; se cambia el aceite y el filtro segun la pauta del fabricante.
Diesel Respaldo Cordillera,2024-03-24,inspeccion,4,Durante el turno: una lectura dentro de tolerancia en el checklist del recorrido; se registra la medicion en la ficha de la unidad.
Parque Solar Cerro Dorado,2024-03-24,falla_electrica,17,Se energiza la barra en forma escalonada tras detectar un arco electrico en el borne en el rele de proteccion.
Central Lago Ventisquero,2024-03-25,correctivo,13,Se repara el conjunto y se realiza la puesta en marcha tras detectar reincidencia de la falla anterior en el conjunto reparado en terreno.
Eolica Cerro Negro,2024-03-27,inspeccion,8,El operador reporta una observacion levantada en auditoria; se revisa el parametro fuera de tolerancia y se completa el checklist sin desviaciones relevantes.
Eolica Loma Larga,2024-03-27,preventivo,24,Evento por las horas de operacion acumuladas en el tablero de control; se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Cerro Dorado,2024-03-27,correctivo,37,Durante el turno: indisponibilidad forzada de la unidad en la unidad fuera de servicio; se completa la reparacion dentro del plazo comprometido.
Termoelectrica Peninsula Gris,2024-03-27,falla_mecanica,17,Evento por vibracion excesiva en el eje en el rodamiento del eje principal; se purga el circuito de lubricacion y se ajusta el torque.
Eolica Punta Ventosa,2024-03-30,correctivo,7,Una reparacion mayor pendiente en el repuesto critico de bodega. Se repara el conjunto y se realiza la puesta en marcha.
Termoelectrica Bahia Norte,2024-03-30,falla_electrica,27,Durante el turno: una caida brusca de tension en el pararrayos del patio; se reemplaza el rele y se recalibra la proteccion.
Central Salto del Pehuen,2024-03-31,preventivo,13,Las horas de operacion acumuladas en el plan anual de la unidad. Se ejecuta la rutina programada y se actualiza el calendario.
Eolica Punta Ventosa,2024-03-31,falla_electrica,37,Se detecta un arco electrico en el borne en el rele de proteccion; se reconecta el interruptor tras verificar la aislacion.
Termoelectrica Peninsula Gris,2024-04-01,falla_mecanica,35,Perdida de presion de aceite en la turbina de baja presion. Se equilibra el rotor y se repite la medicion de vibracion.
Central Salto del Pehuen,2024-04-02,preventivo,6,Se registra el vencimiento de la pauta periodica en el circuito de aceite durante la ronda del turno.
Parque Solar Pampa Alta,2024-04-03,preventivo,10,Durante el turno: las horas de operacion acumuladas en el filtro de admision; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Cerro Negro,2024-04-07,evento_climatico,3,Se detecta granizo sobre la estructura en el sistema de orientacion; se detiene la unidad por viento y se espera mejor tiempo.
Eolica Cerro Negro,2024-04-07,falla_mecanica,62,Se equilibra el rotor y se repite la medicion de vibracion tras detectar desgaste anormal del rodamiento en el sello mecanico.
Eolica Loma Larga,2024-04-07,evento_climatico,31,Evento por rafagas de viento sobre el limite operativo en la linea de evacuacion; se despeja el acceso tras la nevada y se revisa la torre.
Eolica Loma Larga,2024-04-07,falla_mecanica,49,Evento por desalineamiento del acoplamiento en la bomba de lubricacion; se cambia el sello y se verifica la estanqueidad.
Eolica Punta Ventosa,2024-04-07,evento_climatico,4,Se registra una tormenta electrica en la zona en la estructura del parque durante la ronda del turno.
Eolica Vientos del Sur,2024-04-07,falla_electrica,35,Un cortocircuito monofasico en el rele de proteccion. Se energiza la barra en forma escalonada.
Central Vega Escondida,2024-04-08,falla_mecanica,78,Durante el turno: fatiga del material en el alabe en la turbina de baja presion; se cambia el sello y se verifica la estanqueidad.
Termoelectrica Costa Brava,2024-04-08,preventivo,18,Se registra el vencimiento de la pauta periodica en el circuito de aceite durante la ronda del turno.
Eolica Vientos del Sur,2024-04-09,correctivo,47,El operador reporta una reparacion mayor pendiente; se revisa el modulo reemplazado y se instala el repuesto y se ejecutan las pruebas de normalizacion.
Central Quebrada Azul,2024-04-10,inspeccion,5,Durante el turno: una observacion levantada en auditoria en el parametro fuera de tolerancia; se levanta la observacion y se programa el seguimiento.
Diesel Respaldo Cordillera,2024-04-10,falla_mecanica,66,Vibracion excesiva en el eje en la caja multiplicadora. Se cambia el sello y se verifica la estanqueidad.
Eolica Loma Larga,2024-04-10,falla_mecanica,95,Perdida de presion de aceite en la turbina de baja presion. Se reemplaza el rodamiento y se realinea el eje.
Termoelectrica Costa Brava,2024-04-10,inspeccion,6,Un hallazgo menor sin indisponibilidad en el checklist del recorrido. Se completa el checklist sin desviaciones relevantes.
Eolica Vientos del Sur,2024-04-12,preventivo,5,Durante el turno: las horas de operacion acumuladas en el circuito de aceite; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Vientos del Sur,2024-04-12,evento_climatico,14,Granizo sobre la estructura en el aerogenerador del sector norte. Se descongelan las palas antes de reanudar la operacion.
Eolica Vientos del Sur,2024-04-12,falla_mecanica,32,Se detecta desalineamiento del acoplamiento en la caja multiplicadora; se purga el circuito de lubricacion y se ajusta el torque.
Parque Solar Llano Blanco,2024-04-12,falla_mecanica,96,Se detecta desgaste anormal del rodamiento en la turbina de baja presion; se purga el circuito de lubricacion y se ajusta el torque.
Eolica Loma Larga,2024-04-14,evento_climatico,33,Se registra granizo sobre la estructura en la estructura del parque durante la ronda del turno.
Eolica Loma Larga,2024-04-14,falla_mecanica,82,Desgaste anormal del rodamiento en la bomba de lubricacion. Se equilibra el rotor y se repite la medicion de vibracion.
Termoelectrica Puerto Nuevo,2024-04-14,preventivo,4,Durante el turno: el ciclo de limpieza programado en el filtro de admision; se repone la disponibilidad de la unidad dentro del plazo.
Termoelectrica Costa Brava,2024-04-15,falla_electrica,13,Evento por un cortocircuito monofasico en el transformador de poder; se reemplaza el rele y se recalibra la proteccion.
Central Salto del Pehuen,2024-04-16,falla_mecanica,44,El operador reporta fatiga del material en el alabe; se revisa el acoplamiento del generador y se cambia el sello y se verifica la estanqueidad.
Eolica Vientos del Sur,2024-04-16,inspeccion,2,Se registra una lectura dentro de tolerancia en el informe de termografia durante la ronda del turno.
Termoelectrica Costa Brava,2024-04-16,correctivo,63,Se registra la espera de un repuesto importado en el repuesto critico de bodega durante la ronda del turno.
Eolica Loma Larga,2024-04-18,falla_electrica,5,Evento por un cortocircuito monofasico en el transformador de poder; se reemplaza el rele y se recalibra la proteccion.
Termoelectrica Puerto Nuevo,2024-04-18,inspeccion,7,Evento por una lectura dentro de tolerancia en el registro fotografico de la unidad; se levanta la observacion y se programa el seguimiento.
Eolica Loma Larga,2024-04-19,falla_electrica,27,El operador reporta un cortocircuito monofasico; se revisa el alimentador de la subestacion y se energiza la barra en forma escalonada.
